College,Branch,Quota,Category,Gender,Opening Rank,Closing Rank
Assam University Silchar,Agricultural Engineering,All India,OPEN,Gender-Neutral,139066,218669
Assam University Silchar,Agricultural Engineering,All India,OPEN,Female-only,132071,132071
Assam University Silchar,Agricultural Engineering,All India,EWS,Gender-Neutral,225210,287111
Assam University Silchar,Agricultural Engineering,All India,OBC-NCL,Gender-Neutral,225599,406062
Assam University Silchar,Agricultural Engineering,All India,OBC-NCL,Female-only,498041,498041
Assam University Silchar,Agricultural Engineering,All India,SC,Gender-Neutral,324779,358292
Assam University Silchar,Agricultural Engineering,All India,ST,Gender-Neutral,442340,515105
Assam University Silchar,Agricultural Engineering,Home State,OPEN,Gender-Neutral,267757,486776
Assam University Silchar,Agricultural Engineering,Home State,OPEN,Female-only,240357,240357
Assam University Silchar,Agricultural Engineering,Home State,EWS,Gender-Neutral,490764,894611
Assam University Silchar,Agricultural Engineering,Home State,OBC-NCL,Female-only,689007,689007
Assam University Silchar,Agricultural Engineering,Home State,SC,Gender-Neutral,489700,516025
Assam University Silchar,Agricultural Engineering,Home State,SC,Female-only,659268,659268
Assam University Silchar,Agricultural Engineering,Home State,ST,Gender-Neutral,562255,574774
Assam University Silchar,Computer Science and Engineering,All India,OPEN,Gender-Neutral,60957,81129
Assam University Silchar,Computer Science and Engineering,All India,OPEN,Female-only,96853,96853
Assam University Silchar,Computer Science and Engineering,All India,EWS,Gender-Neutral,94070,107617
Assam University Silchar,Computer Science and Engineering,All India,OBC-NCL,Gender-Neutral,86165,112944
Assam University Silchar,Computer Science and Engineering,All India,OBC-NCL,Female-only,108581,108581
Assam University Silchar,Computer Science and Engineering,All India,SC,Gender-Neutral,235544,250200
Assam University Silchar,Computer Science and Engineering,All India,ST,Gender-Neutral,313592,313592
Assam University Silchar,Computer Science and Engineering,Home State,OPEN,Gender-Neutral,122905,188579
Assam University Silchar,Computer Science and Engineering,Home State,OPEN,Female-only,185345,185345
Assam University Silchar,Computer Science and Engineering,Home State,EWS,Gender-Neutral,190357,251138
Assam University Silchar,Computer Science and Engineering,Home State,OBC-NCL,Gender-Neutral,208394,261176
Assam University Silchar,Computer Science and Engineering,Home State,OBC-NCL,Female-only,297019,297019
Assam University Silchar,Computer Science and Engineering,Home State,SC,Gender-Neutral,297619,352458
Assam University Silchar,Computer Science and Engineering,Home State,ST,Gender-Neutral,355458,495102
Assam University Silchar,Electronics and Communication Engineering,All India,OPEN,Gender-Neutral,48832,121352
Assam University Silchar,Electronics and Communication Engineering,All India,OPEN,Female-only,107614,107614
Assam University Silchar,Electronics and Communication Engineering,All India,EWS,Gender-Neutral,122955,125780
Assam University Silchar,Electronics and Communication Engineering,All India,OBC-NCL,Gender-Neutral,126049,137437
Assam University Silchar,Electronics and Communication Engineering,All India,OBC-NCL,Female-only,185401,185401
Assam University Silchar,Electronics and Communication Engineering,All India,SC,Gender-Neutral,141920,292352
Assam University Silchar,Electronics and Communication Engineering,All India,ST,Gender-Neutral,275077,355920
Assam University Silchar,Electronics and Communication Engineering,Home State,OPEN,Gender-Neutral,150208,233229
Assam University Silchar,Electronics and Communication Engineering,Home State,OPEN,Female-only,240184,240184
Assam University Silchar,Electronics and Communication Engineering,Home State,EWS,Gender-Neutral,246559,307873
Assam University Silchar,Electronics and Communication Engineering,Home State,OBC-NCL,Gender-Neutral,279131,435891
Assam University Silchar,Electronics and Communication Engineering,Home State,OBC-NCL,Female-only,517276,517276
Assam University Silchar,Electronics and Communication Engineering,Home State,SC,Gender-Neutral,401926,443953
Assam University Silchar,Electronics and Communication Engineering,Home State,SC,Female-only,404843,404843
Assam University Silchar,Electronics and Communication Engineering,Home State,ST,Gender-Neutral,466284,525277
Birla Institute of Technology Deoghar Off-Campus,Computer Science and Engineering,All India,OPEN,Gender-Neutral,50699,95700
Birla Institute of Technology Deoghar Off-Campus,Computer Science and Engineering,All India,OPEN,Female-only,83683,94771
Birla Institute of Technology Deoghar Off-Campus,Computer Science and Engineering,All India,EWS,Gender-Neutral,99052,116306
Birla Institute of Technology Deoghar Off-Campus,Computer Science and Engineering,All India,OBC-NCL,Gender-Neutral,99300,118962
Birla Institute of Technology Deoghar Off-Campus,Computer Science and Engineering,All India,SC,Gender-Neutral,238354,271181
Birla Institute of Technology Deoghar Off-Campus,Computer Science and Engineering,All India,ST,Gender-Neutral,375823,571192
Birla Institute of Technology Deoghar Off-Campus,Computer Science and Engineering,Home State,OPEN,Gender-Neutral,119827,208992
Birla Institute of Technology Deoghar Off-Campus,Computer Science and Engineering,Home State,OPEN,Female-only,187513,206045
Birla Institute of Technology Deoghar Off-Campus,Computer Science and Engineering,Home State,EWS,Gender-Neutral,209241,385717
Birla Institute of Technology Deoghar Off-Campus,Computer Science and Engineering,Home State,SC,Gender-Neutral,384348,405700
Birla Institute of Technology Deoghar Off-Campus,Computer Science and Engineering,Home State,ST,Gender-Neutral,899655,899655
Birla Institute of Technology Deoghar Off-Campus,Electrical and Electronics Engineering,All India,OPEN,Gender-Neutral,73033,147830
Birla Institute of Technology Deoghar Off-Campus,Electrical and Electronics Engineering,All India,OPEN,Female-only,137470,158606
Birla Institute of Technology Deoghar Off-Campus,Electrical and Electronics Engineering,All India,EWS,Gender-Neutral,167616,170253
