College,Branch,Quota,Category,Gender,Opening Rank,Closing Rank
Indian Institute of Information Technology Agartala,Computer Science and Engineering,All India,OPEN,Gender-Neutral,28815,58772
Indian Institute of Information Technology Agartala,Computer Science and Engineering,All India,OPEN,Female-only,59375,75556
Indian Institute of Information Technology Agartala,Computer Science and Engineering,All India,PWD OPEN,Gender-Neutral,1091091,1091091
Indian Institute of Information Technology Agartala,Computer Science and Engineering,All India,EWS,Gender-Neutral,60082,68004
Indian Institute of Information Technology Agartala,Computer Science and Engineering,All India,EWS,Female-only,88645,93143
Indian Institute of Information Technology Agartala,Computer Science and Engineering,All India,OBC-NCL,Gender-Neutral,62136,74835
Indian Institute of Information Technology Agartala,Computer Science and Engineering,All India,OBC-NCL,Female-only,89152,97711
Indian Institute of Information Technology Agartala,Computer Science and Engineering,All India,SC,Gender-Neutral,204431,227494
Indian Institute of Information Technology Agartala,Computer Science and Engineering,All India,SC,Female-only,189287,189287
Indian Institute of Information Technology Agartala,Computer Science and Engineering,All India,ST,Gender-Neutral,375489,412186
Indian Institute of Information Technology Agartala,Computer Science and Engineering,All India,ST,Female-only,384502,416600
Indian Institute of Information Technology Allahabad,Electronics and Communication Engineering,All India,OPEN,Gender-Neutral,7845,9229
Indian Institute of Information Technology Allahabad,Electronics and Communication Engineering,All India,OPEN,Female-only,15183,15374
Indian Institute of Information Technology Allahabad,Electronics and Communication Engineering,All India,EWS,Gender-Neutral,9907,10776
Indian Institute of Information Technology Allahabad,Electronics and Communication Engineering,All India,OBC-NCL,Gender-Neutral,11675,14013
Indian Institute of Information Technology Allahabad,Electronics and Communication Engineering,All India,OBC-NCL,Female-only,24756,30566
Indian Institute of Information Technology Allahabad,Electronics and Communication Engineering,All India,SC,Gender-Neutral,67766,70012
Indian Institute of Information Technology Allahabad,Electronics and Communication Engineering,All India,SC,Female-only,98488,103526
Indian Institute of Information Technology Allahabad,Electronics and Communication Engineering for DASA-CIWG,DASA-CWG,OPEN,Gender-Neutral,127370,291546
Indian Institute of Information Technology Allahabad,Electronics and Communication Engineering for DASA-Non CIWG,DASA-Non CIWG,OPEN,Gender-Neutral,277691,1329568
Indian Institute of Information Technology Allahabad,Information Technology,All India,OPEN,Gender-Neutral,2937,6776
Indian Institute of Information Technology Allahabad,Information Technology,All India,OPEN,Female-only,10644,11570
Indian Institute of Information Technology Allahabad,Information Technology,All India,OPEN PWD,Gender-Neutral,105857,105857
Indian Institute of Information Technology Allahabad,Information Technology,All India,EWS,Gender-Neutral,7914,8532
Indian Institute of Information Technology Allahabad,Information Technology,All India,EWS,Female-only,16582,16582
Indian Institute of Information Technology Allahabad,Information Technology,All India,OBC-NCL,Gender-Neutral,6863,7180
Indian Institute of Information Technology Allahabad,Information Technology,All India,OBC-NCL,Female-only,22371,22371
Indian Institute of Information Technology Allahabad,Information Technology,All India,OBC-NCL PWD,Gender-Neutral,262572,262572
