College,Branch,Quota,Category,Gender,Opening Rank,Closing Rank
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Computer Science and Engineering,All India,OPEN,Gender-Neutral,11090,11201
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Computer Science and Engineering,All India,OBC-NCL,Female-only,25786,25786
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,All India,OPEN,Gender-Neutral,21853,22339
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,All India,OPEN,Female-only,34279,34279
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,All India,EWS,Gender-Neutral,23095,23095
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,All India,SC,Gender-Neutral,117149,117149
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech.(IT) and M. Tech (IT),All India,OPEN,Gender-Neutral,14574,14765
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech.(IT) and MBA,All India,OPEN,Gender-Neutral,17370,17622
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech. (IT) and MBA,All India,OPEN,Female-only,25726,27450
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech. (IT) and MBA,All India,EWS,Gender-Neutral,19223,19223
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Mathematics and Scientific Computing,All India,OPEN,Gender-Neutral,14447,14447
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Mathematics and Scientific Computing,All India,OPEN,Female-only,25117,25117
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Mathematics and Scientific Computing,All India,SC,Gender-Neutral,103386,103386
Indian Institute of Information Technology (IIIT)Kota Rajasthan,Artificial Intelligence and Data Engineering,All India,OPEN,Gender-Neutral,37155,37763
Indian Institute of Information Technology (IIIT)Kota Rajasthan,Artificial Intelligence and Data Engineering,All India,OPEN,Female-only,56788,56788
Indian Institute of Information Technology (IIIT)Kota Rajasthan,Artificial Intelligence and Data Engineering,All India,OPEN PwD,Gender-Neutral,1296716,1296716
Indian Institute of Information Technology (IIIT) Kota Rajasthan,Artificial Intelligence and Data Engineering,All India,EWS,Gender-Neutral,42326,42889
Indian Institute of Information Technology (IIIT) Kota Rajasthan,Artificial Intelligence and Data Engineering,All India,OBC-NCL,Gender-Neutral,45135,48182
Indian Institute of Information Technology (IIIT)Kota Rajasthan,Artificial Intelligence and Data Engineering,All India,OBC-NCL,Female-only,74129,74129
Indian Institute of Information Technology (IIIT)Kota Rajasthan,Computer Science and Engineering,All India,OPEN,Gender-Neutral,33401,33434
Indian Institute of Information Technology (IIIT)Kota Rajasthan,Computer Science and Engineering,All India,OPEN,Female-only,45042,45042
Indian Institute of Information Technology (IIIT)Kota Rajasthan,Computer Science and Engineering,All India,OPEN PwD,Gender-Neutral,988673,988673
Indian Institute of Information Technology (IIIT)Kota Rajasthan,Computer Science and Engineering,All India,OPEN PwD,Female-only,914975,914975
Indian Institute of Information Technology (IIIT)Kota Rajasthan,Computer Science and Engineering,All India,EWS,Gender-Neutral,41498,42415
