College,Branch,Quota,Category,Gender,Opening Rank,Closing Rank
Assam University Silchar,Agricultural Engineering,All India,OPEN,Gender-Neutral,60893,78837
Assam University Silchar,Agricultural Engineering,All India,OPEN,Female-only,68243,68243
Assam University Silchar,Agricultural Engineering,All India,OPEN PWD,Gender-Neutral,1032,1032
Assam University Silchar,Agricultural Engineering,All India,EWS,Gender-Neutral,12157,13283
Assam University Silchar,Agricultural Engineering,All India,OBC-NCL,Gender-Neutral,25173,29422
Assam University Silchar,Agricultural Engineering,All India,OBC-NCL,Female-only,25747,25747
Assam University Silchar,Agricultural Engineering,All India,SC,Gender-Neutral,11540,14075
Assam University Silchar,Agricultural Engineering,All India,ST,Gender-Neutral,5377,6064
Assam University Silchar,Agricultural Engineering,Home State,OPEN,Gender-Neutral,125600,204706
Assam University Silchar,Agricultural Engineering,Home State,OPEN,Female-only,129629,129629
Assam University Silchar,Agricultural Engineering,Home State,EWS,Gender-Neutral,34370,37531
Assam University Silchar,Agricultural Engineering,Home State,OBC-NCL,Gender-Neutral,79678,99739
Assam University Silchar,Agricultural Engineering,Home State,OBC-NCL,Female-only,77452,77452
Assam University Silchar,Agricultural Engineering,Home State,SC,Gender-Neutral,16550,22101
Assam University Silchar,Agricultural Engineering,Home State,SC,Female-only,21049,21049
Assam University Silchar,Agricultural Engineering,Home State,ST,Gender-Neutral,8193,8707
Assam University Silchar,Computer Science and Engineering,All India,OPEN,Gender-Neutral,32937,53277
Assam University Silchar,Computer Science and Engineering,All India,OPEN,Female-only,49476,49476
Assam University Silchar,Computer Science and Engineering,All India,OPEN PWD,Gender-Neutral,1618,1618
Assam University Silchar,Computer Science and Engineering,All India,EWS,Gender-Neutral,7916,8300
Assam University Silchar,Computer Science and Engineering,All India,OBC-NCL,Gender-Neutral,17023,19410
Assam University Silchar,Computer Science and Engineering,All India,OBC-NCL,Female-only,21274,21274
Assam University Silchar,Computer Science and Engineering,All India,SC,Gender-Neutral,8992,10082
Assam University Silchar,Computer Science and Engineering,All India,ST,Gender-Neutral,3846,3962
Assam University Silchar,Computer Science and Engineering,Home State,OPEN,Gender-Neutral,80319,87938
Assam University Silchar,Computer Science and Engineering,Home State,OPEN,Female-only,124854,124854
Assam University Silchar,Computer Science and Engineering,Home State,OPEN PWD,Gender-Neutral,3099,3099
Assam University Silchar,Computer Science and Engineering,Home State,EWS,Gender-Neutral,14070,16299
Assam University Silchar,Computer Science and Engineering,Home State,OBC-NCL,Gender-Neutral,43335,58429
Assam University Silchar,Computer Science and Engineering,Home State,OBC-NCL,Female-only,70503,70503
Assam University Silchar,Computer Science and Engineering,Home State,SC,Gender-Neutral,13347,13772
Assam University Silchar,Computer Science and Engineering,Home State,SC,Female-only,12197,12197
Assam University Silchar,Computer Science and Engineering,Home State,ST,Gender-Neutral,4594,5440
Assam University Silchar,Electronics and Communication Engineering,All India,OPEN,Gender-Neutral,47997,60376
Assam University Silchar,Electronics and Communication Engineering,All India,OPEN,Female-only,57628,57628
Assam University Silchar,Electronics and Communication Engineering,All India,OPEN PWD,Gender-Neutral,3972,3972
Assam University Silchar,Electronics and Communication Engineering,All India,EWS,Gender-Neutral,8834,9513
Assam University Silchar,Electronics and Communication Engineering,All India,OBC-NCL,Gender-Neutral,18789,21849
Assam University Silchar,Electronics and Communication Engineering,All India,OBC-NCL,Female-only,22835,22835
Assam University Silchar,Electronics and Communication Engineering,All India,SC,Gender-Neutral,11066,11466
Assam University Silchar,Electronics and Communication Engineering,All India,ST,Gender-Neutral,3645,4717
Assam University Silchar,Electronics and Communication Engineering,Home State,OPEN,Gender-Neutral,79517,106666
Assam University Silchar,Electronics and Communication Engineering,Home State,OPEN,Female-only,110055,110055
Assam University Silchar,Electronics and Communication Engineering,Home State,EWS,Gender-Neutral,17225,18065
Assam University Silchar,Electronics and Communication Engineering,Home State,OBC-NCL,Gender-Neutral,60326,75620
Assam University Silchar,Electronics and Communication Engineering,Home State,OBC-NCL,Female-only,73828,73828
Assam University Silchar,Electronics and Communication Engineering,Home State,SC,Gender-Neutral,13475,14910
Assam University Silchar,Electronics and Communication Engineering,Home State,SC,Female-only,14723,14723
Assam University Silchar,Electronics and Communication Engineering,Home State,ST,Gender-Neutral,5792,6010
Birla Institute of Technology Mesra Ranchi,Architecture,All India,OPEN,Gender-Neutral,586,918
Birla Institute of Technology Mesra Ranchi,Architecture,All India,EWS,Gender-Neutral,353,353
Birla Institute of Technology Mesra Ranchi,Architecture,All India,OBC-NCL,Gender-Neutral,451,494
Birla Institute of Technology Mesra Ranchi,Architecture,All India,SC,Gender-Neutral,279,327
Birla Institute of Technology Mesra Ranchi,Architecture,All India,ST,Gender-Neutral,56,56
Birla Institute of Technology Mesra Ranchi,Architecture,Home State,OPEN,Gender-Neutral,1527,3333
Birla Institute of Technology Mesra Ranchi,Architecture,Home State,EWS,Gender-Neutral,1169,1169
Birla Institute of Technology Mesra Ranchi,Architecture,Home State,SC,Gender-Neutral,1319,1319
Birla Institute of Technology Mesra Ranchi,Architecture,Home State,ST,Gender-Neutral,201,318
Birla Institute of Technology Mesra Ranchi,Artificial Intelligence and Machine Learning,All India,OPEN,Gender-Neutral,17179,19181
Birla Institute of Technology Mesra Ranchi,Artificial Intelligence and Machine Learning,All India,OPEN,Female-only,28928,30228
Birla Institute of Technology Mesra Ranchi,Artificial Intelligence and Machine Learning,All India,OPEN PWD,Gender-Neutral,1000,1000
Birla Institute of Technology Mesra Ranchi,Artificial Intelligence and Machine Learning,All India,EWS,Gender-Neutral,2616,3291
Birla Institute of Technology Mesra Ranchi,Artificial Intelligence and Machine Learning,All India,OBC-NCL,Gender-Neutral,7881,8241
Birla Institute of Technology Mesra Ranchi,Artificial Intelligence and Machine Learning,All India,OBC-NCL PWD,Gender-Neutral,1735,1735
Birla Institute of Technology Mesra Ranchi,Artificial Intelligence and Machine Learning,All India,SC,Gender-Neutral,6317,6988
Birla Institute of Technology Mesra Ranchi,Artificial Intelligence and Machine Learning,All India,ST,Gender-Neutral,3058,3422
Birla Institute of Technology Mesra Ranchi,Artificial Intelligence and Machine Learning,Home State,OPEN,Gender-Neutral,31836,34822
Birla Institute of Technology Mesra Ranchi,Artificial Intelligence and Machine Learning,Home State,OPEN,Female-only,42703,56359
Birla Institute of Technology Mesra Ranchi,Artificial Intelligence and Machine Learning,Home State,OPEN PWD,Gender-Neutral,1322,1322
Birla Institute of Technology Mesra Ranchi,Artificial Intelligence and Machine Learning,Home State,EWS,Gender-Neutral,7452,7524
Birla Institute of Technology Mesra Ranchi,Artificial Intelligence and Machine Learning,Home State,SC,Gender-Neutral,9766,11296
Birla Institute of Technology Mesra Ranchi,Artificial Intelligence and Machine Learning,Home State,ST,Gender-Neutral,3602,9098
Birla Institute of Technology Mesra Ranchi,Bio Technology,All India,OPEN,Gender-Neutral,44586,53621
Birla Institute of Technology Mesra Ranchi,Bio Technology,All India,OPEN,Female-only,61439,61439
Birla Institute of Technology Mesra Ranchi,Bio Technology,All India,EWS,Gender-Neutral,8604,8842
Birla Institute of Technology Mesra Ranchi,Bio Technology,All India,OBC-NCL,Gender-Neutral,19283,20543
Birla Institute of Technology Mesra Ranchi,Bio Technology,All India,SC,Gender-Neutral,8396,11112
Birla Institute of Technology Mesra Ranchi,Bio Technology,All India,ST,Gender-Neutral,4899,4899
Birla Institute of Technology Mesra Ranchi,Bio Technology,Home State,OPEN,Gender-Neutral,91369,102330
Birla Institute of Technology Mesra Ranchi,Bio Technology,Home State,OPEN,Female-only,84318,93231
Birla Institute of Technology Mesra Ranchi,Bio Technology,Home State,EWS,Gender-Neutral,15011,17147
Birla Institute of Technology Mesra Ranchi,Bio Technology,Home State,SC,Gender-Neutral,24117,24580
Birla Institute of Technology Mesra Ranchi,Bio Technology,Home State,ST,Gender-Neutral,18870,33724
Birla Institute of Technology Mesra Ranchi,Chemical Engineering,All India,OPEN,Gender-Neutral,38260,51086
Birla Institute of Technology Mesra Ranchi,Chemical Engineering,All India,OPEN,Female-only,45700,57928
Birla Institute of Technology Mesra Ranchi,Chemical Engineering,All India,EWS,Gender-Neutral,7436,8094
Birla Institute of Technology Mesra Ranchi,Chemical Engineering,All India,OBC-NCL,Gender-Neutral,15082,19048
Birla Institute of Technology Mesra Ranchi,Chemical Engineering,All India,SC,Gender-Neutral,10052,11101
Birla Institute of Technology Mesra Ranchi,Chemical Engineering,All India,ST,Gender-Neutral,5210,5579
Birla Institute of Technology Mesra Ranchi,Chemical Engineering,Home State,OPEN,Gender-Neutral,62760,87290
Birla Institute of Technology Mesra Ranchi,Chemical Engineering,Home State,OPEN,Female-only,77556,95695
