College,Branch,Quota,Category,Gender,Opening Rank,Closing Rank
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Computer Science and Engineering,All India,OPEN,Gender-Neutral,6450,8646
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Computer Science and Engineering,All India,OPEN,Female-only,9323,15090
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Computer Science and Engineering,All India,OPEN(PWD),Gender-Neutral,129,129
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Computer Science and Engineering,All India,OPEN(PWD),Female-only,481,481
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Computer Science and Engineering,All India,EWS,Gender-Neutral,1124,1299
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Computer Science and Engineering,All India,EWS,Female-only,2137,2137
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Computer Science and Engineering,All India,OBC-NCL,Gender-Neutral,2538,3300
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Computer Science and Engineering,All India,OBC-NCL,Female-only,4902,6583
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Computer Science and Engineering,All India,OBC-NCL(PWD),Gender-Neutral,229,229
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Computer Science and Engineering,All India,SC,Gender-Neutral,1520,2003
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Computer Science and Engineering,All India,SC,Female-only,3484,4039
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Computer Science and Engineering,All India,SC(PWD),Gender-Neutral,97,97
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Computer Science and Engineering,All India,ST,Gender-Neutral,660,933
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Computer Science and Engineering,All India,ST,Female-only,613,613
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Computer Science and Engineering,All India,ST(PWD),Gender-Neutral,84,84
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,All India,OPEN,Gender-Neutral,11784,16320
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,All India,OPEN,Female-only,21192,27081
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,All India,OPEN(PWD),Gender-Neutral,748,748
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,All India,EWS,Gender-Neutral,2336,2491
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,All India,EWS,Female-only,4546,4546
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,All India,OBC-NCL,Gender-Neutral,4044,6241
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,All India,OBC-NCL,Female-only,13900,14415
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,All India,OBC-NCL(PWD),Gender-Neutral,639,639
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,All India,SC,Gender-Neutral,3088,4070
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,All India,SC,Female-only,5994,7115
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,All India,ST,Gender-Neutral,1636,1811
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,All India,ST,Female-only,3331,3331
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech. (IT) and M. Tech (IT),All India,OPEN,Gender-Neutral,9345,12506
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech. (IT) and M. Tech (IT),All India,OPEN,Female-only,17025,20642
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech. (IT) and M. Tech (IT),All India,OPEN(PWD),Gender-Neutral,371,371
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech. (IT) and M. Tech (IT),All India,OPEN(PWD),Female-only,604,604
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech. (IT) and M. Tech (IT),All India,EWS,Gender-Neutral,1699,1866
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech. (IT) and M. Tech (IT),All India,EWS,Female-only,3133,3133
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech. (IT) and M. Tech (IT),All India,OBC-NCL,Gender-Neutral,4150,5245
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech. (IT) and M. Tech (IT),All India,OBC-NCL,Female-only,9391,10183
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech. (IT) and M. Tech (IT),All India,OBC-NCL(PWD),Gender-Neutral,345,345
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech. (IT) and M. Tech (IT),All India,SC,Gender-Neutral,2435,3654
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech. (IT) and M. Tech (IT),All India,SC,Female-only,4312,6422
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech. (IT) and M. Tech (IT),All India,ST,Gender-Neutral,1364,1594
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech. (IT) and M. Tech (IT),All India,ST,Female-only,3499,3499
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech. (IT) and MBA,All India,OPEN,Gender-Neutral,9421,14729
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech. (IT) and MBA,All India,OPEN,Female-only,20921,23188
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech. (IT) and MBA,All India,OPEN(PWD),Gender-Neutral,305,305
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech. (IT) and MBA,All India,EWS,Gender-Neutral,2057,2063
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech. (IT) and MBA,All India,EWS,Female-only,3997,3997
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech. (IT) and MBA,All India,OBC-NCL,Gender-Neutral,5370,6039
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech. (IT) and MBA,All India,OBC-NCL,Female-only,10281,10675
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech. (IT) and MBA,All India,OBC-NCL(PwD),Female-only,1464,1464
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech. (IT) and MBA,All India,SC,Gender-Neutral,3493,3851
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech. (IT) and MBA,All India,SC,Female-only,6444,6700
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech. (IT) and MBA,All India,ST,Gender-Neutral,1726,2114
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech. (IT) and MBA,All India,ST,Female-only,2473,2473
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Mathematics and Scientific Computing,All India,OPEN,Gender-Neutral,9047,10908
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Mathematics and Scientific Computing,All India,OPEN,Female-only,15152,18174
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Mathematics and Scientific Computing,All India,OPEN(PWD),Gender-Neutral,629,629
